sample,morpho_family
DKE1BS61,Salticidae
DKE1BS62,Linyphiidae
DKE1BS63,Tetragnathidae
DKE1BS64,Thomisidae
DKE1BS71,Cheiracanthiidae
DKE1BS72,Salticidae
DKE1BS73,Tetragnathidae
DKE1D1,Tetragnathidae
DKE1D4,Linyphiidae
DKE1LL2,Lycosidae
DKE1LL3,Sparassidae
DKE1LL4,Oonopidae
DKE1LL5,Linyphiidae
DKE1N3,Tetragnathidae
DKE1N4,Tetragnathidae
DKE1PF1,Lycosidae
DKE1W1,Tetragnathidae
DKE1W10,Tetragnathidae
DKE1W11,Theridiosomatidae
DKE1W12,Theridiosomatidae
DKE1W13,Tetragnathidae
DKE1W14,Pisauridae
DKE1W15,Tetragnathidae
DKE1W16,Pisauridae
DKE1W3,Tetragnathidae
DKE1W5,Araneidae
DKE1W6,Tetragnathidae
DKE1W7,Tetragnathidae
DKE1W8,Tetragnathidae
DKE1W9,Theridiosomatidae
DKE2BS11,Tetragnathidae
DKE2BS12,Salticidae
DKE2BS21,Salticidae
DKE2BS22,Theridiidae
DKE2BS31,Tetragnathidae
DKE2BS41,Tetragnathidae
DKE2BS51,Tetragnathidae
DKE2BS52,Linyphiidae
DKE2BS61,Tetragnathidae
DKE2BS71,Tetragnathidae
DKE2LL2,Oonopidae
DKE2LL3,Theridiosomatidae
DKE2LL4,Linyphiidae
DKE2N11,Linyphiidae
DKE2N15,Thomisidae
DKE2N4,Sparassidae
DKE2N5,Mimetidae
DKE2N7,Zodariidae
DKE2N9,Thomisidae
DKE2W1,Linyphiidae
DKE2W10,Tetragnathidae
DKE2W12,Tetragnathidae
DKE2W13,Linyphiidae
DKE2W14,Tetragnathidae
DKE2W15,Tetragnathidae
DKE2W2,Araneidae
DKE2W3,Tetragnathidae
DKE2W4,Tetragnathidae
DKE2W5,Linyphiidae
DKE2W6,Tetragnathidae
DKE2W8,Theridiosomatidae
DKE2W9,Tetragnathidae
GORA1BS21,Salticidae
GORA1BS23,Mimetidae
GORA1BS24,Thomisidae
GORA1BS71,Salticidae
GORA1D1,Uloboridae
GORA1D2,Salticidae
GORA1D3,Pholcidae
GORA1D4,Linyphiidae
GORA1D7,Theridiidae
GORA1LL3,Sparassidae
GORA1LL6,Ctenidae
GORA1N11,Theridiidae
GORA1N13,Theridiidae
GORA1N15,Theridiidae
GORA1N17,Sparassidae
GORA1N18,Salticidae
GORA1N2,Theridiidae
GORA1N20,Pholcidae
GORA1N21,Araneidae
GORA1N22,Theridiidae
GORA1N25,Theridiidae
GORA1N27,Tetragnathidae
GORA1N29,Theridiidae
GORA1N4,Araneidae
GORA1N5,Tetragnathidae
GORA1N6,Tetragnathidae
GORA1N8,Uloboridae
GORA1PF11,Araneidae
GORA1PF12,Lycosidae
GORA1PF21,Schizomid
GORA1W1,Tetragnathidae
GORA1W10,Tetragnathidae
GORA1W2,Theridiidae
GORA1W3,Araneidae
GORA1W5,Tetragnathidae
GORA1W6,Theridiidae
GORA1W7,Theridiidae
GORA1W8,Tetragnathidae
GORA2BS41,Thomisidae
GORA2BS61,Tetragnathidae
GORA2BS71,Tetragnathidae
GORA2D1,Pholcidae
GORA2D2,Araneidae
GORA2D5,Theridiidae
GORA2LL5,Salticidae
GORA2LL6,Coriniidae
GORA2N12,Theridiidae
GORA2N4,Coriniidae
GORA2N5,Oxyipdae
GORA2N7,Tetragnathidae
GORA2N8,Araneidae
GORA2PF11,Lycosidae
GORA2PF12,Lycosidae
GORA2PF13,Mygalomorph
GORA2W1,Theridiidae
GORA2W10,Tetragnathidae
GORA2W12,Araneidae
GORA2W13,Araneidae
GORA2W2,Tetragnathidae
GORA2W3,Theridiidae
GORA2W4,Araneidae
GORA2W5,Tetragnathidae
GORA2W6,Araneidae
GORA2W8,Tetragnathidae
GORA2W9,Tetragnathidae
GORB1BS21,Salticidae
GORB1BS51,Oonopidae
GORB1D3,Araneidae
GORB1D4,Psechridae
GORB1LL1,Ctenidae
GORB1LL2,Oonopidae
GORB1N13,Theridiidae
GORB1N14,Linyphiidae
GORB1N15,Araneidae
GORB1N16,Tetragnathidae
GORB1N17,Theridiidae
GORB1N3,Salticidae
GORB1N4,Hersiliidae
GORB1N5,Uloboridae
GORB1N7,Oxyipdae
GORB1N8,Zodariidae
GORB1PF1,Oonopidae
GORB1PF4,Zodariidae
GORB1W12,Araneidae
GORB1W14,Araneidae
GORB1W15,Theridiidae
GORB1W2,Araneidae
GORB1W3,Pisauridae
GORB1W4,Psechridae
GORB1W5,Araneidae
GORB1W6,Uloboridae
GORB1W7,Araneidae
GORB1W8,Psechridae
GORB1W9,Uloboridae
GORB2D11,Linyphiidae
GORB2D2,Araneidae
GORB2D3,Salticidae
GORB2D4,Araneidae
GORB2D6,Linyphiidae
GORB2D7,Cyatholipidae
GORB2D8,Araneidae
GORB2LL1,Clubionidae
GORB2LL2,Ctenidae
GORB2N10,Uloboridae
GORB2N11,Linyphiidae
GORB2N4,Araneidae
GORB2N6,Sparassidae
GORB2N7,Coriniidae
GORB2N9,Uloboridae
GORB2PF1,Oonopidae
GORB2PF2,Linyphiidae
GORB2W1,Araneidae
GORB2W2,Araneidae
GORB2W3,Araneidae
GORB2W4,Psechridae
GORB2W5,Theridiidae
GORB2W6,Araneidae
GORB2W8,Araneidae
GORC1BS1,Araneidae
GORC1BS2,Salticidae
GORC1BS3,Clubionidae
GORC1BS4,Pseudoscorpion
GORC1D1,Araneidae
GORC1D2,Uloboridae
GORC1D3,Araneidae
GORC1D4,Araneidae
GORC1D5,Theridiidae
GORC1D7,Linyphiidae
GORC1D8,Coriniidae
GORC1D9,Linyphiidae
GORC1LL1,Linyphiidae
GORC1LL2,Zodariidae
GORC1LL3,Coriniidae
GORC1N1.F2R2,Uloboridae
GORC1N10,Theridiidae
GORC1N11,Pholcidae
GORC1N12,Theridiidae
GORC1N13,Tetragnathidae
GORC1N14,Theridiidae
GORC1N15,Linyphiidae
GORC1N18,Tetragnathidae
GORC1N2,Araneidae
GORC1N3,Mimetidae
GORC1N4,Theridiidae
GORC1N8,Theridiidae
GORC1N9,Theridiidae
GORC1PF1,Zodariidae
GORC1PF2,Zodariidae
GORC1PF4,Coriniidae
GORC1W1,Araneidae
GORC1W10,Tetragnathidae
GORC1W4,Araneidae
TPPA1BS11,Tetragnathidae
TPPA1BS51,Salticidae
TPPA1D1,Psechridae
TPPA1D2,Theridiidae
TPPA1D3,Pholcidae
TPPA1D4,Salticidae
TPPA1D5,Tetragnathidae
TPPA1LL3,Coriniidae
TPPA1LL6,Sparassidae
TPPA1LL7,Theridiidae
TPPA1N1,Theridiidae
TPPA1N10,Theridiosomatidae
TPPA1N11,Theridiidae
TPPA1N12,Theridiidae
TPPA1N13,Theridiidae
TPPA1N14,Theridiidae
TPPA1N15,Tetragnathidae
TPPA1N16,Linyphiidae
TPPA1N2,Theridiidae
TPPA1N3,Tetragnathidae
TPPA1N4,Tetragnathidae
TPPA1N5,Theridiidae
TPPA1N6,Tetragnathidae
TPPA1N8,Theridiosomatidae
TPPA1N9,Linyphiidae
TPPA1W1,Tetragnathidae
TPPA1W10,Tetragnathidae
TPPA1W11,Theridiosomatidae
TPPA1W12,Tetragnathidae
TPPA1W13,Tetragnathidae
TPPA1W14,Linyphiidae
TPPA1W15,Araneidae
TPPA1W2,Psechridae
TPPA1W3,Theridiidae
TPPA1W5,Tetragnathidae
TPPA1W6,Tetragnathidae
TPPA1W7,Tetragnathidae
TPPA1W8,Tetragnathidae
TPPA1W9,Psechridae
TPPA2D1,Linyphiidae
TPPA2D2,Coriniidae
TPPA2D3,Theridiidae
TPPA2D4,Salticidae
TPPA2D5,Tetragnathidae
TPPA2D6,Araneidae
TPPA2D7,Linyphiidae
TPPA2LL10,Zodariidae
TPPA2LL11,Theridiidae
TPPA2LL5,Coriniidae
TPPA2LL7,Sparassidae
TPPA2N10,Theridiidae
TPPA2N11,Linyphiidae
TPPA2N43,theridiidae
TPPA2N5,Psechridae
TPPA2N6,Araneidae
TPPA2N7,Psechridae
TPPA2N8,Uloboridae
TPPA2N9,Theridiidae
TPPA2PF1,Lycosidae
TPPA2W1,Uloboridae
TPPA2W2,Araneidae
TPPA2W3,Psechridae
TPPA2W4,Araneidae
TPPA2W5,Tetragnathidae
TPPA2W6,Tetragnathidae
TPPA2W7,Araneidae
TPPA3BS51,Theridiidae
TPPA3D2,Tetragnathidae
TPPA3N10,Uloboridae
TPPA3N2,Tetragnathidae
TPPA3N3,Theridiosomatidae
TPPA3N8,Araneidae
TPPA3N9,Araneidae
TPPA3W1,Tetragnathidae
TPPA3W10,Psechridae
TPPA3W11,Pholcidae
TPPA3W13,Araneidae
TPPA3W14,Theridiidae
TPPA3W15,Araneidae
TPPA3W16,Araneidae
TPPA3W2,Tetragnathidae
TPPA3W4,Araneidae
TPPA3W5,Araneidae
TPPA3W6,Mysmenidae
TPPA3W7,Psechridae
TPPA3W8,Tetragnathidae
TPPA3W9,Araneidae
TPPB1D1,Araneidae
TPPB1D11,Araneidae
TPPB1D12,Linyphiidae
TPPB1D15,Linyphiidae
TPPB1D16,Araneidae
TPPB1D17,Tetragnathidae
TPPB1D18,Linyphiidae
TPPB1D19,Tetragnathidae
TPPB1D2,Salticidae
TPPB1D3,Linyphiidae
TPPB1D4,Araneidae
TPPB1D5,Araneidae
TPPB1D6,Salticidae
TPPB1D7,Araneidae
TPPB1D8,Araneidae
TPPB1LL10,Oonopidae
TPPB1LL12,Theridiidae
TPPB1LL13,Lycosidae
TPPB1LL3,Zodariidae
TPPB1LL4,Sparassidae
TPPB1LL6,Zodariidae
TPPB1PF1,Salticidae
TPPC1BS51,Thomisidae
TPPC1D1,Psechridae
TPPC1D10,Tetragnathidae
TPPC1D2,Uloboridae
TPPC1D3,Mysmenidae
TPPC1D4,Theridiidae
TPPC1D5,Theridiidae
TPPC1D6,Psechridae
TPPC1D7,Linyphiidae
TPPC1D8,Tetragnathidae
TPPC1D9,Theridiosomatidae
TPPC1LL2,Zodariidae
TPPC1LL3,Zodariidae
TPPC1LL7,Sparassidae
TPPC1W1,Psechridae
TPPC1W10,Tetragnathidae
TPPC1W14,Tetragnathidae
